timestamp_utc,elapsed_s,armed,flight_mode,lat_deg,lon_deg,alt_agl_m,alt_amsl_m,vx_ms,vy_ms,vz_ms,roll_deg,pitch_deg,yaw_deg,groundspeed_ms,airspeed_ms,heading_deg,throttle_pct,battery_v,battery_a,battery_pct,gps_fix_type,satellites_visible,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,last_status_text
2026-07-09T13:56:40.186Z,38.384,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.16,1.31,84.36,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:40.687Z,38.885,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.37,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:41.188Z,39.386,False,STABILIZE,0.0000000,0.0000000,-0.47,0.00,0.00,0.00,0.00,2.16,1.31,84.37,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:41.688Z,39.886,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.16,1.31,84.37,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:42.188Z,40.386,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.31,84.37,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:42.688Z,40.886,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.37,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:43.188Z,41.386,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.17,1.31,84.38,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:43.690Z,41.888,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.20,1.30,84.38,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:44.190Z,42.388,False,STABILIZE,0.0000000,0.0000000,-0.56,0.00,0.00,0.00,0.00,2.17,1.30,84.39,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:44.690Z,42.888,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.01,0.00,0.00,2.13,1.26,84.41,0.02,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:45.190Z,43.388,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.03,1.25,84.47,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:45.690Z,43.888,False,STABILIZE,0.0000000,0.0000000,-0.48,0.00,0.00,0.00,0.00,2.03,1.31,84.41,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:46.190Z,44.388,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.00,1.30,84.38,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
